permalink,name,entity_type,category_code,raised_amount_usd,funded_at,funding_round_type,status,country_code,state_code,region,city
/company/composite-software-inc,Composite Software Inc,Company,NULL,12900000,4/6/2010,series-c+,acquired,USA,CA,SF Bay,san mateo
/company/comprehend-systems,Comprehend Systems,Company,enterprise,1200000,11/8/2011,angel,unknown,USA,CA,SF Bay,palo alto
/company/compstak,CompStak,Company,enterprise,570000,10/18/2012,angel,unknown,USA,NY,New York,new york
/company/compstak,CompStak,Company,enterprise,570000,12/31/2012,angel,unknown,USA,NY,New York,new york
/company/compstak,CompStak,Company,enterprise,4450000,3/29/2013,series-a,unknown,USA,NY,New York,new york
/company/compttia,ComptTIA,Company,web,70000,4/4/2012,angel,unknown,USA,IL,Chicago,oakbrook terrace
/company/compucom-systems-holding,CompuCom Systems Holding,Company,public_relations,323000000,5/24/2013,private-equity,unknown,USA,MA,Boston,boston
/company/compupay,CompuPay,Company,software,20000000,12/1/2009,venture,unknown,USA,FL,Fort Lauderdale,miramar
/company/compute,Compute,Company,web,5000000,2/3/2005,other,unknown,USA,WA,Seattle,seattle
/company/computek-industries-llc,"CompuTEK Industries, LLC.",Company,consulting,2000,9/16/2011,angel,unknown,USA,WA,Seattle,seattle
/company/computime,Computime,Company,consulting,2000000,10/20/2009,venture,unknown,USA,MO,Saint Louis,saint louis
/company/comr-es,Comr.se,Company,ecommerce,20000,4/22/2013,angel,unknown,USA,WA,Seattle,seattle
/company/coms-interactive,COMS Interactive,Company,biotech,2700000,3/26/2010,series-b,unknown,USA,OH,Hudson,hudson
/company/coms-interactive,COMS Interactive,Company,biotech,21000000,6/18/2013,venture,unknown,USA,OH,Hudson,hudson
/company/comscore,comScore,Company,web,20000000,6/6/2002,series-c+,ipo,USA,VA,Washington DC,reston
/company/comscore,comScore,Company,web,15000000,8/13/2001,series-c+,ipo,USA,VA,Washington DC,reston
/company/comscore,comScore,Company,web,30600000,9/1/2000,series-a,ipo,USA,VA,Washington DC,reston
/company/conarrative,CoNarrative,Company,software,400000,1/1/2013,angel,unknown,USA,CA,Sacramento,granite bay
/company/conatus-pharmaceuticals,Conatus Pharmaceuticals,Company,biotech,20000000,2/11/2011,series-b,ipo,USA,CA,San Diego,san diego
/company/conatus-pharmaceuticals,Conatus Pharmaceuticals,Company,biotech,7500000,4/12/2011,series-b,ipo,USA,CA,San Diego,san diego
/company/conatus-pharmaceuticals,Conatus Pharmaceuticals,Company,biotech,1001551,6/12/2013,venture,ipo,USA,CA,San Diego,san diego
/company/concert-pharmaceuticals,Concert Pharmaceuticals,Company,biotech,37000000,4/30/2008,series-c+,unknown,USA,MA,Boston,lexington
/company/concert-pharmaceuticals,Concert Pharmaceuticals,Company,biotech,48500000,11/30/2006,series-b,unknown,USA,MA,Boston,lexington
/company/concert-pharmaceuticals,Concert Pharmaceuticals,Company,biotech,10000000,7/17/2006,series-a,unknown,USA,MA,Boston,lexington
/company/concert-pharmaceuticals,Concert Pharmaceuticals,Company,biotech,4000000,6/20/2011,venture,unknown,USA,MA,Boston,lexington
/company/concilio-networks,Concilio Networks,Company,other,1273700,10/3/2006,venture,unknown,USA,CA,SF Bay,santa clara
/company/conclusive-marketing,Conclusive Analytics,Company,software,8000000,11/17/2006,venture,unknown,USA,NC,Charlotte,charlotte
/company/concordia-coffee-systems,Concordia Coffee Systems,Company,hardware,6500000,2/6/2012,series-a,unknown,USA,WA,Seattle,bellevue
/company/concuity,Concuity,Company,software,2500000,4/26/2006,series-c+,unknown,USA,IL,Chicago,vernon hills
/company/concurrent-inc,Concurrent Inc,Company,enterprise,4000000,3/20/2013,series-a,unknown,USA,CA,SF Bay,san francisco
/company/condition-one,Condition One,Company,games_video,500000,1/1/2012,angel,unknown,USA,CA,SF Bay,palo alto
/company/condition-one,Condition One,Company,games_video,1850000,10/15/2012,series-a,unknown,USA,CA,SF Bay,palo alto
/company/condodomain,CondoDomain,Company,web,250000,6/1/2005,angel,acquired,USA,NY,New York,new york
/company/conducive-technology,Conducive Technology,Company,web,1500000,1/1/2003,series-a,unknown,USA,OR,Portland,portland
/company/conductor,Conductor,Company,search,10000000,4/29/2009,series-b,unknown,USA,NY,New York,new york
/company/conductor,Conductor,Company,search,2600000,12/26/2006,series-a,unknown,USA,NY,New York,new york
/company/conductor,Conductor,Company,search,20000000,10/31/2012,series-c+,unknown,USA,NY,New York,new york
/company/conductrics,Conductrics,Company,software,210000,11/1/2012,angel,unknown,USA,NY,New York,brooklyn
/company/conduit,Conduit,Company,network_hosting,1800000,7/1/2006,series-a,unknown,USA,CA,SF Bay,foster city
/company/conduit,Conduit,Company,network_hosting,8000000,1/1/2008,series-b,unknown,USA,CA,SF Bay,foster city
/company/conduit,Conduit,Company,network_hosting,100000000,4/12/2012,venture,unknown,USA,CA,SF Bay,foster city
/company/conduitlabs,Conduit Labs,Company,games_video,5500000,8/1/2007,series-a,acquired,USA,MA,Boston,cambridge
/company/conduitlabs,Conduit Labs,Company,games_video,3000000,9/15/2009,series-b,acquired,USA,MA,Boston,cambridge
/company/confabb,Confabb,Company,web,200000,8/1/2007,angel,unknown,USA,CA,California - Other,NULL
/company/confer,Confer,Company,enterprise,200000,6/1/2009,angel,unknown,USA,OH,Wooster,wooster
/company/confer,Confer,Company,enterprise,200000,6/1/2010,angel,unknown,USA,OH,Wooster,wooster
/company/conference-hound,Conference Hound,Company,search,145000,3/15/2011,angel,unknown,USA,CA,SF Bay,san francisco
/company/conference-hound,Conference Hound,Company,search,355000,9/15/2012,angel,unknown,USA,CA,SF Bay,san francisco
/company/confident-technologies,Confident Technologies,Company,enterprise,1500000,1/29/2010,venture,unknown,USA,CA,San Diego,solana beach
/company/config-consultants,Config Consultants,Company,other,66033,5/8/2013,angel,unknown,USA,CA,SF Bay,santa clara
/company/confluence,Confluence Technologies,Company,software,60000000,8/24/2006,venture,unknown,USA,PA,Pittsburg,pittsburgh
/company/confluence-life-sciences,Confluence Life Sciences,Company,biotech,4000000,9/17/2012,series-a,unknown,USA,MO,Saint Louis,saint louis
/company/confluence-solar,Confluence Solar,Company,cleantech,12700000,9/24/2008,series-a,acquired,USA,MO,Saint Louis,hazelwood
/company/conformia-software,Conformia Software,Company,software,12300000,5/4/2007,series-c+,acquired,USA,CA,SF Bay,sunnyvale
/company/conformia-software,Conformia Software,Company,software,2950000,7/23/2008,series-c+,acquired,USA,CA,SF Bay,sunnyvale
/company/conformia-software,Conformia Software,Company,software,12000000,10/1/2006,venture,acquired,USA,CA,SF Bay,sunnyvale
/company/conformiq,Conformiq,Company,software,4200000,2/13/2009,venture,unknown,USA,CA,SF Bay,saratoga
/company/conformis,ConforMIS,Company,biotech,50000000,8/10/2009,series-c+,unknown,USA,MA,Boston,burlington
/company/conformis,ConforMIS,Company,biotech,1400000,7/12/2011,other,unknown,USA,MA,Boston,burlington
/company/conformis,ConforMIS,Company,biotech,89000000,1/30/2012,series-c+,unknown,USA,MA,Boston,burlington
/company/conformity,Conformity,Company,enterprise,3000000,1/28/2009,series-a,unknown,USA,TX,Austin,austin
/company/conisus,Conisus,Company,consulting,46500000,1/8/2013,other,unknown,USA,GA,Atlanta,atlanta
/company/conjugon,ConjuGon,Company,biotech,3300000,12/13/2006,venture,unknown,USA,WI,Madison,madison
/company/connect-financial-software-solutions,Connect Financial Software Solutions,Company,software,500000,2/5/2010,venture,unknown,USA,UT,Salt Lake City,murray
/company/connect-financial-software-solutions,Connect Financial Software Solutions,Company,software,900000,1/11/2013,other,unknown,USA,UT,Salt Lake City,murray
/company/connectandsell,ConnectAndSell,Company,software,7500000,2/9/2011,series-c+,unknown,USA,CA,SF Bay,san mateo
/company/connectandsell,ConnectAndSell,Company,software,7500000,2/1/2011,series-c+,unknown,USA,CA,SF Bay,san mateo
/company/connectbeam,Connectbeam,Company,software,3500000,7/17/2007,series-a,unknown,USA,CA,SF Bay,mountain view
/company/connected,Connected,Company,software,500000,6/29/2011,angel,acquired,USA,CA,SF Bay,san francisco
/company/connected-creatives-inc-dba-music180,Music180.com,Company,ecommerce,1000000,12/15/2009,angel,unknown,USA,CA,Los Angeles,west hollywood
/company/connected-data,Connected Data,Company,software,6000000,1/31/2013,series-a,unknown,USA,CA,SF Bay,santa clara
/company/connected-sports-ventures,Connected Sports Ventures,Company,mobile,4300000,11/12/2012,venture,unknown,USA,NJ,Princeton,princeton
/company/connectedu,ConnectEdu,Company,software,3503843,2/24/2010,other,unknown,USA,MA,Boston,boston
/company/connectedu,ConnectEdu,Company,software,7000000,11/15/2010,series-c+,unknown,USA,MA,Boston,boston
/company/connectedu,ConnectEdu,Company,software,8200000,7/13/2009,series-c+,unknown,USA,MA,Boston,boston
/company/connectedu,ConnectEdu,Company,software,9500000,10/24/2012,venture,unknown,USA,MA,Boston,boston
/company/connectiva-systems,Connectiva Systems,Company,software,17000000,9/23/2008,venture,unknown,USA,NY,New York,new york
/company/connectloud,Connectloud,Company,software,3600000,6/18/2013,private-equity,unknown,USA,TX,Dallas,dallas
/company/connectquest,ConnectQuest,Company,mobile,500000,12/1/2012,angel,unknown,USA,CT,unknown,west simsbury
