permalink,name,entity_type,category_code,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at,last_milestone_at
/financial-organization/correlation-ventures,Correlation Ventures,FinancialOrg,NULL,unknown,USA,CA,San Diego,san diego,NULL,5/1/2006,NULL,NULL,10/15/2013
/financial-organization/corriente-advisors,Corriente Advisors,FinancialOrg,NULL,unknown,USA,TX,Dallas,fort worth,NULL,NULL,NULL,NULL,NULL
/financial-organization/costanoa-venture-capital,Costanoa Venture Capital,FinancialOrg,NULL,unknown,USA,CA,SF Bay,palo alto,NULL,6/1/2012,NULL,NULL,NULL
/financial-organization/costella-kirsch,Costella Kirsch,FinancialOrg,NULL,unknown,USA,CA,SF Bay,menlo park,NULL,1/1/1986,NULL,NULL,NULL
/financial-organization/cottonwood-technology-fund,Cottonwood Technology Fund,FinancialOrg,NULL,unknown,USA,TX,El Paso,el paso,NULL,NULL,NULL,NULL,NULL
/financial-organization/council-capital,Council Capital,FinancialOrg,NULL,unknown,USA,TN,Nashville,nashville,NULL,1/1/2000,NULL,NULL,NULL
/financial-organization/council-ventures,Council Ventures,FinancialOrg,NULL,unknown,USA,TN,Nashville,nashville,NULL,NULL,NULL,NULL,NULL
/financial-organization/country-insurance-financial-services,Country Insurance & Financial Services,FinancialOrg,NULL,unknown,USA,IL,Bloomington,bloomington,NULL,11/17/1925,NULL,NULL,NULL
/financial-organization/court-square-ventures,Court Square Ventures,FinancialOrg,NULL,unknown,USA,VA,Charlottesville,charlottesville,NULL,1/1/2000,NULL,NULL,NULL
/financial-organization/covidien-ventures,Covidien Ventures,FinancialOrg,NULL,unknown,USA,MA,Mansfield,mansfield,NULL,NULL,NULL,NULL,NULL
/financial-organization/covington-associates,Covington Associates,FinancialOrg,NULL,unknown,USA,MA,Boston,boston,NULL,1/1/1991,NULL,NULL,NULL
/financial-organization/covington-capital,Covington Capital,FinancialOrg,NULL,unknown,USA,OH,Columbus,powell,NULL,NULL,NULL,NULL,10/13/2010
/financial-organization/cowboy-ventures,Cowboy Ventures,FinancialOrg,NULL,unknown,USA,CA,SF Bay,palo alto,NULL,1/1/2012,NULL,NULL,5/29/2013
/financial-organization/cradle,Cradle,FinancialOrg,NULL,unknown,USA,TX,Dallas,dallas,NULL,NULL,NULL,NULL,NULL
/financial-organization/crameronline,CramerOnline,FinancialOrg,NULL,unknown,USA,MA,Boston,norwood,NULL,8/1/2007,NULL,NULL,NULL
/financial-organization/craton-equity-partners,Craton Equity Partners,FinancialOrg,NULL,unknown,USA,CA,Los Angeles,beverly hills,NULL,1/1/2006,NULL,NULL,1/23/2012
/financial-organization/creation-capital,Creation Capital,FinancialOrg,NULL,unknown,USA,TX,Austin,austin,NULL,1/1/2001,NULL,NULL,NULL
/financial-organization/creeris-ventures,Creeris Ventures,FinancialOrg,NULL,unknown,USA,TX,Houston,houston,NULL,NULL,NULL,NULL,NULL
/financial-organization/crescendo-ventures,Crescendo Ventures,FinancialOrg,NULL,unknown,USA,CA,SF Bay,palo alto,NULL,1/1/1993,NULL,NULL,NULL
/financial-organization/crescent-financial-partners,Crescent Financial Partners,FinancialOrg,NULL,unknown,USA,CA,Los Angeles,los angeles,NULL,NULL,NULL,NULL,1/18/2011
/financial-organization/crestview-capital,Crestview Capital,FinancialOrg,NULL,unknown,USA,IL,Chicago,winnetka,NULL,NULL,NULL,NULL,NULL
/financial-organization/crestview-partners,Crestview Partners,FinancialOrg,NULL,unknown,USA,NY,New York,new york,NULL,1/1/2004,NULL,NULL,12/27/2012
/financial-organization/crimson-investment,Crimson Investment,FinancialOrg,NULL,unknown,USA,CA,SF Bay,brisbane,NULL,1/1/1993,NULL,NULL,NULL
/financial-organization/crocker-capital,Crocker Capital,FinancialOrg,NULL,unknown,USA,CA,SF Bay,san francisco,NULL,NULL,NULL,NULL,NULL
/financial-organization/crocker-ventures,Crocker Ventures,FinancialOrg,NULL,unknown,USA,UT,Salt Lake City,salt lake city,NULL,NULL,NULL,NULL,NULL
/financial-organization/croghan-investments,Croghan Investments,FinancialOrg,NULL,unknown,USA,CO,Niwot,niwot,NULL,NULL,NULL,NULL,NULL
/financial-organization/cronus-ventures,Cronus Ventures,FinancialOrg,NULL,unknown,USA,WA,Seattle,bellevue,NULL,1/1/2000,NULL,NULL,NULL
/financial-organization/cross-atlantic-capital-partners,Cross Atlantic Capital Partners,FinancialOrg,NULL,unknown,USA,PA,Philadelphia,radnor,NULL,1/1/1999,NULL,NULL,NULL
/financial-organization/cross-atlantic-partners,Cross Atlantic Partners,FinancialOrg,NULL,unknown,USA,NY,New York,new york,NULL,1/1/1994,NULL,NULL,NULL
/financial-organization/cross-atlantic-ventures-2,Cross Atlantic Ventures,FinancialOrg,NULL,unknown,USA,MA,Boston,newton,NULL,NULL,NULL,NULL,NULL
/financial-organization/cross-creek-capital,Cross Creek Capital,FinancialOrg,NULL,unknown,USA,UT,Salt Lake City,salt lake city,NULL,1/1/2006,NULL,NULL,7/25/2012
/financial-organization/crossbar-capital,Crossbar Capital,FinancialOrg,NULL,unknown,USA,NY,New York,new york,NULL,NULL,NULL,NULL,NULL
/financial-organization/crossbidge-venture-partners,CrossBridge Venture Partners,FinancialOrg,NULL,unknown,USA,CA,SF Bay,san bruno,NULL,1/1/2000,NULL,NULL,NULL
/financial-organization/crossbow-ventures,Crossbow Ventures,FinancialOrg,NULL,unknown,USA,FL,Palm Beach,west palm beach,NULL,NULL,NULL,NULL,NULL
/financial-organization/crosscut-ventures,Crosscut Ventures,FinancialOrg,NULL,unknown,USA,CA,Los Angeles,santa monica,NULL,1/1/2008,NULL,NULL,NULL
/financial-organization/crosslink-capital,Crosslink Capital,FinancialOrg,NULL,unknown,USA,CA,SF Bay,san francisco,NULL,1/1/1989,NULL,NULL,NULL
/financial-organization/crosspoint-venture-partners,Crosspoint Venture Partners,FinancialOrg,NULL,unknown,USA,CA,SF Bay,redwood city,NULL,NULL,NULL,NULL,NULL
/financial-organization/crunchfund,CrunchFund,FinancialOrg,NULL,unknown,USA,CA,SF Bay,san francisco,NULL,9/1/2011,NULL,NULL,5/6/2013
/financial-organization/crystal-internet-venture-funds,Crystal Internet Venture Funds,FinancialOrg,NULL,unknown,USA,OH,Cleveland,cleveland,NULL,1/1/1997,NULL,NULL,5/22/2013
/financial-organization/csu-chico,"CSU, Chico",FinancialOrg,NULL,unknown,USA,CA,Chico,chico,NULL,NULL,NULL,NULL,NULL
/financial-organization/cue-ball,Cue Ball,FinancialOrg,NULL,unknown,USA,MA,Boston,boston,NULL,1/1/1995,NULL,NULL,12/10/2011
/financial-organization/cultivation-capital,Cultivation Capital,FinancialOrg,NULL,unknown,USA,MO,Saint Louis,saint louis,NULL,2/15/2012,NULL,NULL,6/5/2012
/financial-organization/cultivian-ventures,Cultivian Ventures,FinancialOrg,NULL,unknown,USA,IN,Indianapolis,carmel,NULL,1/1/2006,NULL,NULL,NULL
/financial-organization/cumorah-capital,Cumorah Capital,FinancialOrg,NULL,unknown,USA,WA,Seattle,bainbridge island,NULL,NULL,NULL,NULL,NULL
/financial-organization/curious-office-partners,Curious Office Partners,FinancialOrg,NULL,unknown,USA,WA,Seattle,seattle,NULL,NULL,NULL,NULL,NULL
/financial-organization/cutlass-capital,Cutlass Capital,FinancialOrg,NULL,unknown,USA,MA,Boston,boston,NULL,1/1/2001,NULL,NULL,NULL
/financial-organization/cyber-capital,Cyber Capital,FinancialOrg,NULL,unknown,USA,GA,Atlanta,north atlanta,NULL,1/1/1999,NULL,NULL,NULL
/financial-organization/cycad-group,Cycad Group,FinancialOrg,NULL,unknown,USA,CA,Santa Barbara,santa barbara,NULL,NULL,NULL,NULL,NULL
/financial-organization/cypress-growth-capital,Cypress Growth Capital,FinancialOrg,NULL,unknown,USA,TX,Dallas,dallas,NULL,1/1/2009,NULL,NULL,NULL
/financial-organization/cyrus-capital-partners,Cyrus Capital Partners,FinancialOrg,NULL,unknown,USA,NY,New York,new york,NULL,1/1/1999,NULL,NULL,NULL
/financial-organization/d-e-shaw-co,D.E. Shaw & Co.,FinancialOrg,NULL,unknown,USA,NY,New York,new york,NULL,1/1/1988,NULL,NULL,2/22/2012
/financial-organization/dace-ventures,Dace Ventures,FinancialOrg,NULL,unknown,USA,MA,Boston,waltham,NULL,NULL,NULL,NULL,NULL
/financial-organization/dafna-capital-management,Dafna Capital Management,FinancialOrg,NULL,unknown,USA,CA,Los Angeles,los angeles,NULL,1/1/1999,NULL,NULL,NULL
/financial-organization/dag-ventures,DAG Ventures,FinancialOrg,NULL,unknown,USA,CA,SF Bay,palo alto,NULL,NULL,NULL,NULL,NULL
/financial-organization/dali-hook-partners,Dali Hook Partners,FinancialOrg,NULL,unknown,USA,CA,SF Bay,menlo park,NULL,NULL,NULL,NULL,NULL
/financial-organization/dallas-venture-partners,Dallas Venture Partners,FinancialOrg,NULL,unknown,USA,TX,Dallas,dallas,NULL,NULL,NULL,NULL,NULL
/financial-organization/danevest-capital,DaneVest Capital,FinancialOrg,NULL,unknown,USA,WI,Middleton,middleton,NULL,NULL,NULL,NULL,NULL
/financial-organization/danevest-tech-fund-advisors,DaneVest Tech Fund Advisors,FinancialOrg,NULL,unknown,USA,WI,Middleton,middleton,NULL,NULL,NULL,NULL,NULL
/financial-organization/darby-technology-ventures,Darby Technology Ventures,FinancialOrg,NULL,unknown,USA,DC,Washington DC,washington,NULL,NULL,NULL,NULL,NULL
/financial-organization/data-collective,Data Collective,FinancialOrg,NULL,unknown,USA,CA,SF Bay,san francisco,NULL,1/1/2011,NULL,NULL,4/25/2013
/financial-organization/data-point-capital,Data Point Capital,FinancialOrg,NULL,unknown,USA,MA,Boston,boston,NULL,NULL,NULL,NULL,NULL
/financial-organization/david-shen-ventures,David Shen Ventures,FinancialOrg,NULL,unknown,USA,CA,SF Bay,palo alto,NULL,NULL,NULL,NULL,NULL
/financial-organization/dawntreader-ventures,Dawntreader Ventures,FinancialOrg,NULL,unknown,USA,NY,New York,new york,NULL,7/1/2006,NULL,NULL,NULL
/financial-organization/db-capital-ventures,DB Capital Ventures,FinancialOrg,NULL,unknown,USA,NY,New York,new york,NULL,NULL,NULL,NULL,NULL
/financial-organization/dbl-investors,DBL Investors,FinancialOrg,NULL,unknown,USA,CA,SF Bay,san francisco,NULL,NULL,NULL,NULL,NULL
/financial-organization/dca-capital-partners,DCA Capital Partners,FinancialOrg,NULL,unknown,USA,CA,Sacramento,roseville,NULL,1/1/2001,NULL,NULL,NULL
/financial-organization/dcm,DCM,FinancialOrg,NULL,unknown,USA,CA,SF Bay,menlo park,NULL,1/1/1996,NULL,NULL,2/7/2013
/financial-organization/de-anda-capital,de Anda Capital,FinancialOrg,NULL,unknown,USA,CA,SF Bay,san mateo,NULL,NULL,NULL,NULL,NULL
/financial-organization/deciens-capital,Deciens Capital,FinancialOrg,NULL,unknown,USA,CA,SF Bay,san francisco,NULL,7/15/2012,NULL,NULL,NULL
/financial-organization/decima-ventures,Decima Ventures,FinancialOrg,NULL,unknown,USA,NY,New York,new york,NULL,1/1/2001,NULL,NULL,NULL
/financial-organization/deep-creek-capital,Deep Creek Capital,FinancialOrg,NULL,unknown,USA,NY,New York,new york,NULL,NULL,NULL,NULL,NULL
/financial-organization/deep-fork-advisors,Deep Fork Advisors,FinancialOrg,NULL,unknown,USA,OK,Tulsa,jenks,NULL,NULL,NULL,NULL,NULL
/financial-organization/deep-fork-capital-2,Deep Fork Capital,FinancialOrg,NULL,unknown,USA,CA,SF Bay,menlo park,NULL,1/1/2008,NULL,NULL,5/20/2013
/financial-organization/deephaven-capital-management,Deephaven Capital Management,FinancialOrg,NULL,unknown,USA,WI,Milwaukee,saint francis,NULL,NULL,NULL,NULL,NULL
/financial-organization/deerfield-management,Deerfield Capital Management,FinancialOrg,NULL,unknown,USA,IL,Chicago,rosemont,NULL,NULL,NULL,NULL,NULL
/financial-organization/deerfield-partners,Deerfield Partners,FinancialOrg,NULL,unknown,USA,CA,SF Bay,san francisco,NULL,NULL,NULL,NULL,NULL
/financial-organization/defense-advanced-research-projects-agency,Defense Advanced Research Projects Agency,FinancialOrg,NULL,unknown,USA,VA,Washington DC,arlington,NULL,2/7/1958,NULL,NULL,NULL
/financial-organization/defiance-capital,Defiance Capital,FinancialOrg,NULL,unknown,USA,NY,New York,new york,NULL,NULL,NULL,NULL,NULL
/financial-organization/defta-partners,DEFTA Partners,FinancialOrg,NULL,unknown,USA,CA,SF Bay,san francisco,NULL,7/1/2007,NULL,NULL,NULL
/financial-organization/delaware-crossing-investor-group,Delaware Crossing Investor Group,FinancialOrg,NULL,unknown,USA,PA,Philadelphia,doylestown,NULL,NULL,NULL,NULL,NULL
/financial-organization/delphi-ventures,Delphi Ventures,FinancialOrg,NULL,unknown,USA,CA,SF Bay,menlo park,NULL,1/1/1988,NULL,NULL,NULL
/financial-organization/delta-capital-management,Delta Capital Management,FinancialOrg,NULL,unknown,USA,TN,Nashville,nashville,NULL,1/1/1992,NULL,NULL,NULL
/financial-organization/delta-v-capital,Delta-V Capital,FinancialOrg,NULL,unknown,USA,CO,Denver,denver,NULL,1/1/2009,NULL,NULL,NULL
/financial-organization/deltapoint-capital-management,DeltaPoint Capital Management,FinancialOrg,NULL,unknown,USA,NY,Rochester,rochester,NULL,NULL,NULL,NULL,NULL
/financial-organization/denham-capital,Denham Capital,FinancialOrg,NULL,unknown,USA,MA,Boston,boston,NULL,NULL,NULL,NULL,NULL
/financial-organization/denovo-ventures,DeNovo Ventures,FinancialOrg,NULL,unknown,USA,CA,SF Bay,saratoga,NULL,1/1/2000,NULL,NULL,NULL
/financial-organization/detroit-venture-partners,Detroit Venture Partners,FinancialOrg,NULL,unknown,USA,MI,Detroit,detroit,NULL,12/6/2010,NULL,NULL,12/10/2012
/financial-organization/dev,DEV,FinancialOrg,NULL,unknown,USA,NY,New York,new york,NULL,1/1/2012,NULL,NULL,5/14/2012
/financial-organization/devon-park-bioventures,Devon Park BioVentures,FinancialOrg,NULL,unknown,USA,PA,Philadelphia,wayne,NULL,NULL,NULL,NULL,NULL
/financial-organization/devonshire-investors,Devonshire Investors,FinancialOrg,NULL,unknown,USA,MA,Boston,boston,NULL,1/1/1969,NULL,NULL,NULL
/financial-organization/dfj-eplanet-ventures,DFJ ePlanet Ventures,FinancialOrg,NULL,unknown,USA,CA,SF Bay,san jose,NULL,1/1/1999,NULL,NULL,NULL
/financial-organization/dfj-frontier,DFJ Frontier,FinancialOrg,NULL,unknown,USA,CA,Los Angeles,sherman oaks,NULL,1/1/2002,NULL,NULL,NULL
/financial-organization/dfj-gotham-ventures,DFJ Gotham Ventures,FinancialOrg,NULL,unknown,USA,NY,New York,new york,NULL,1/1/2000,NULL,NULL,NULL
